s=1 state=flee noise=0.1207 p=(2800.1,-500.1) v=(5.1,-5.1) fleePoint={"x":1300,"y":-100}
s=2 t=0.03 state=flee noise=0.1201 p=(2800.2,-500.2) v=(9.9,-9.9) active=true
s=3 t=0.05 state=flee noise=0.1194 p=(2800.5,-500.5) v=(14.5,-14.5) active=true
s=4 t=0.07 state=flee noise=0.1187 p=(2800.8,-500.8) v=(18.9,-18.9) active=true
s=5 t=0.08 state=flee noise=0.1180 p=(2801.2,-501.2) v=(23.0,-23.0) active=true
s=6 t=0.10 state=flee noise=0.1173 p=(2801.6,-501.6) v=(27.0,-27.0) active=true
s=7 t=0.12 state=flee noise=0.1166 p=(2802.2,-502.1) v=(30.7,-27.0) active=true
s=8 t=0.13 state=flee noise=0.1158 p=(2802.7,-502.5) v=(34.3,-27.1) active=true
s=9 t=0.15 state=flee noise=0.1151 p=(2803.3,-503.0) v=(37.7,-27.1) active=true
s=10 t=0.17 state=flee noise=0.1144 p=(2804.0,-503.4) v=(40.9,-27.1) active=true
s=11 t=0.18 state=flee noise=0.1137 p=(2804.8,-503.9) v=(44.0,-27.1) active=true
s=12 t=0.20 state=flee noise=0.1129 p=(2805.5,-504.3) v=(46.9,-27.1) active=true
s=13 t=0.22 state=flee noise=0.1122 p=(2806.4,-504.8) v=(49.7,-27.1) active=true
s=14 t=0.23 state=flee noise=0.1115 p=(2807.2,-505.3) v=(52.4,-27.2) active=true
s=15 t=0.25 state=flee noise=0.1107 p=(2808.2,-505.7) v=(54.9,-27.2) active=true
s=16 t=0.27 state=flee noise=0.1100 p=(2809.1,-506.2) v=(57.3,-27.2) active=true
s=17 t=0.28 state=flee noise=0.1093 p=(2810.1,-506.6) v=(59.6,-27.2) active=true
s=18 t=0.30 state=flee noise=0.1085 p=(2811.1,-507.1) v=(61.7,-27.2) active=true
s=19 t=0.32 state=flee noise=0.1078 p=(2812.2,-507.5) v=(63.8,-27.2) active=true
s=20 t=0.33 state=flee noise=0.1070 p=(2813.3,-508.0) v=(65.8,-27.2) active=true
s=40 t=0.67 state=forage noise=0.0926 p=(2830.6,-512.9) v=(1.9,0.0) active=true
s=60 t=1.00 state=forage noise=0.0794 p=(2830.6,-512.9) v=(0.0,0.0) active=true
s=80 t=1.33 state=forage noise=0.0663 p=(2830.6,-512.9) v=(0.0,0.0) active=true
s=100 t=1.67 state=forage noise=0.0532 p=(2830.6,-512.9) v=(0.0,0.0) active=true
s=120 t=2.00 state=forage noise=0.0401 p=(2830.6,-512.9) v=(0.0,0.0) active=true
s=140 t=2.33 state=forage noise=0.0269 p=(2830.6,-512.9) v=(0.0,0.0) active=true
s=160 t=2.67 state=forage noise=0.0138 p=(2830.6,-512.9) v=(0.0,0.0) active=true
s=180 t=3.00 state=forage noise=0.0007 p=(2830.6,-512.9) v=(0.0,0.0) active=true
s=200 t=3.33 state=forage noise=0.0000 p=(2830.6,-512.9) v=(0.0,0.0) active=true
